voxel_id,n_points,linearity,planarity,scattering,omnivariance,sum_ev,anisotropy,eigentropy,change_curvature,z_range,plane_std,label,scattering_log2,plane_std_log2,pred_label
37534,58,0.596992421243041,0.40300757875695903,0.0,0.0,0.44628237841013485,1.0,,0.0,0.8000000000000007,0.02133198022611601,unlabeled,-19.931568569324174,-5.550770664926088,building
37535,13,0.388735003340168,0.42759520854268984,0.18366978811714224,0.3525808917392345,1.3118525640488,0.8163302118828577,0.8586861658257234,0.10232671943006762,1.7199999999999989,0.3520107985553609,unlabeled,-2.444805903330508,-1.506304309683759,tree
37560,154,0.13659733156892365,0.8600786009130316,0.003324067518044823,0.056501187741862864,0.7421822850362269,0.9966759324819552,0.7425096420426627,0.0017806931534382988,0.2699999999999996,0.03457060716721183,unlabeled,-8.232400648722107,-4.854268516510811,terrain
37586,26,0.7242836708001805,0.26586439327949757,0.009851935920321983,0.02173969763546264,0.2003029230957872,0.990148064079678,0.4348278454670826,0.007663487181212645,0.4400000000000013,0.03841848117387038,unlabeled,-6.66523061018739,-4.702018153148647,tree
37587,117,0.5115235702997695,0.4876394564907186,0.0008369732095119141,0.03199060420801162,0.6419336630557342,0.9991630267904882,0.6936471775034827,0.0005619859512958654,0.14000000000000057,0.016609137188669177,unlabeled,-10.220808258682265,-5.911792200725168,terrain
37613,119,0.3677831408127752,0.6322168591872248,0.0,0.0,0.5661476030855904,1.0,,0.0,1.0199999999999996,0.11632946666649732,unlabeled,-19.931568569324174,-3.1036991102651523,building
37614,32,0.78410320835549,0.08373295179242178,0.13216383985208832,0.04200065581411437,0.18528739919378098,0.8678361601479117,0.4499569564196095,0.09803998185553556,0.639999999999997,0.1325083409242935,unlabeled,-2.91958967082338,-2.91583403234238,tree
37640,148,0.18136768938208192,0.8177252489358741,0.0009070616820440209,0.03623392576105242,0.7280618587971488,0.999092938317956,0.7349648554826266,0.0004985117089813028,0.240000000000002,0.018759508816532943,unlabeled,-10.104922080539218,-5.736157233076332,terrain
37667,145,0.19868192600003598,0.8003371666506752,0.0009809073492888722,0.031066976611426864,0.606710510655527,0.9990190926507112,0.7226021128025494,0.000544253400484384,0.28999999999999915,0.022173571636309078,unlabeled,-9.992125478255444,-5.494949954657257,terrain
37694,157,0.07188264106243998,0.9150425419500623,0.013074816987497677,0.08224859098190601,0.694785630002186,0.9869251830125023,0.7589369365084881,0.00673545728735847,0.6599999999999966,0.08697446666674749,unlabeled,-6.256955099746969,-3.523247675130523,building
37695,21,0.9843055989805928,0.006810161304692742,0.008884239714714493,0.020986748491223287,0.41466952378675564,0.9911157602852855,0.41846381629878626,0.008671115482505902,0.3299999999999983,0.05851859556209411,unlabeled,-6.814373585440813,-4.094936390950708,building
37721,149,0.21116563200135768,0.7880343524814846,0.0008000155171577896,0.031591741536637255,0.6591381841786348,0.9991999844828422,0.7293848905819839,0.00044702735068496546,0.19000000000000128,0.01710742319557968,unlabeled,-10.285882188963209,-5.869149390365022,terrain
37748,146,0.049977008865350565,0.9493389009099066,0.000684090224742927,0.03005103223447387,0.6767614643366462,0.9993159097752571,0.7350663173351969,0.000350688338233849,0.1999999999999993,0.015092816792728087,unlabeled,-10.51141837947996,-6.049898521639192,terrain
37775,58,0.7543243580417933,0.24275074633287363,0.002924895625333032,0.03864806876598987,0.5387581140367137,0.997075104374667,0.6090019854777248,0.00234253913665109,0.25,0.03685422097665935,unlabeled,-8.41690597912971,-4.7619871812117225,tree
37776,55,0.707215227289144,0.15704124313503554,0.13574352957582048,0.12939817964899983,0.5416613005048324,0.8642564704241795,0.7644303785147949,0.09502333930558664,1.8900000000000006,0.22807124569057824,unlabeled,-2.881034035442313,-2.13243720036699,tree
